ID,Block/Item,Mod,Unlocalised name,Class
70,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate
71,Block,Minecraft,tile.doorIron,net.minecraft.block.BlockDoor
72,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate
73,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre
74,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre
75,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch
76,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch
77,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonStone
78,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnow
79,Block,MineFactoryReloaded,tile.ice,powercrystals.minefactoryreloaded.block.BlockVanillaIce
80,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnowBlock
81,Block,HungerOverhaul,tile.cactus,iguanaman.hungeroverhaul.blocks.IguanaCactus
82,Block,Minecraft,tile.clay,net.minecraft.block.BlockClay
83,Block,HungerOverhaul,tile.reeds,iguanaman.hungeroverhaul.blocks.IguanaCropReed
84,Block,Minecraft,tile.jukebox,net.minecraft.block.BlockJukeBox
85,Block,Minecraft,tile.fence,net.minecraft.block.BlockFence
86,Block,Minecraft,tile.pumpkin,net.minecraft.block.BlockPumpkin
87,Block,Minecraft,tile.hellrock,net.minecraft.block.BlockNetherrack
88,Block,Minecraft,tile.hellsand,net.minecraft.block.BlockSoulSand
89,Block,Minecraft,tile.lightgem,net.minecraft.block.BlockGlowStone
90,Block,Minecraft,tile.portal,net.minecraft.block.BlockPortal
91,Block,Minecraft,tile.litpumpkin,net.minecraft.block.BlockPumpkin
92,Block,Minecraft,tile.cake,net.minecraft.block.BlockCake
93,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater
94,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater
95,Block,Minecraft,tile.lockedchest,net.minecraft.block.BlockLockedChest
96,Block,Minecraft,tile.trapdoor,net.minecraft.block.BlockTrapDoor
97,Block,Minecraft,tile.monsterStoneEgg,net.minecraft.block.BlockSilverfish
98,Block,Minecraft,tile.stonebricksmooth,net.minecraft.block.BlockStoneBrick
99,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap
100,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap
101,Block,Minecraft,tile.fenceIron,net.minecraft.block.BlockPane
102,Block,MineFactoryReloaded,tile.thinGlass,powercrystals.minefactoryreloaded.block.BlockVanillaGlassPane
103,Block,Minecraft,tile.melon,net.minecraft.block.BlockMelon
104,Block,HungerOverhaul,tile.pumpkinStem,iguanaman.hungeroverhaul.blocks.IguanaStem
105,Block,HungerOverhaul,tile.pumpkinStem,iguanaman.hungeroverhaul.blocks.IguanaStem
106,Block,Minecraft,tile.vine,net.minecraft.block.BlockVine
107,Block,Minecraft,tile.fenceGate,net.minecraft.block.BlockFenceGate
108,Block,Minecraft,tile.stairsBrick,net.minecraft.block.BlockStairs
109,Block,Minecraft,tile.stairsStoneBrickSmooth,net.minecraft.block.BlockStairs
110,Block,Minecraft,tile.mycel,net.minecraft.block.BlockMycelium
111,Block,Minecraft,tile.waterlily,net.minecraft.block.BlockLilyPad
112,Block,Minecraft,tile.netherBrick,net.minecraft.block.Block
113,Block,Minecraft,tile.netherFence,net.minecraft.block.BlockFence
114,Block,Minecraft,tile.stairsNetherBrick,net.minecraft.block.BlockStairs
115,Block,Minecraft,tile.netherStalk,net.minecraft.block.BlockNetherStalk
116,Block,Minecraft,tile.enchantmentTable,net.minecraft.block.BlockEnchantmentTable
117,Block,Minecraft,tile.brewingStand,net.minecraft.block.BlockBrewingStand
118,Block,Minecraft,tile.cauldron,net.minecraft.block.BlockCauldron
119,Block,Minecraft,tile.null,net.minecraft.block.BlockEndPortal
120,Block,Minecraft,tile.endPortalFrame,net.minecraft.block.BlockEndPortalFrame
121,Block,Minecraft,tile.whiteStone,net.minecraft.block.Block
122,Block,Minecraft,tile.dragonEgg,net.minecraft.block.BlockDragonEgg
123,Block,Minecraft,tile.redstoneLight,net.minecraft.block.BlockRedstoneLight
124,Block,Minecraft,tile.redstoneLight,net.minecraft.block.BlockRedstoneLight
125,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab
126,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab
127,Block,HungerOverhaul,tile.cocoa,iguanaman.hungeroverhaul.blocks.IguanaCocoa
128,Block,Minecraft,tile.stairsSandStone,net.minecraft.block.BlockStairs
129,Block,Minecraft,tile.oreEmerald,net.minecraft.block.BlockOre
130,Block,Minecraft,tile.enderChest,net.minecraft.block.BlockEnderChest
131,Block,Minecraft,tile.tripWireSource,net.minecraft.block.BlockTripWireSource
132,Block,Minecraft,tile.tripWire,net.minecraft.block.BlockTripWire
133,Block,Minecraft,tile.blockEmerald,net.minecraft.block.BlockOreStorage
134,Block,Minecraft,tile.stairsWoodSpruce,net.minecraft.block.BlockStairs
135,Block,Minecraft,tile.stairsWoodBirch,net.minecraft.block.BlockStairs
136,Block,Minecraft,tile.stairsWoodJungle,net.minecraft.block.BlockStairs
137,Block,Minecraft,tile.commandBlock,net.minecraft.block.BlockCommandBlock
138,Block,Minecraft,tile.beacon,net.minecraft.block.BlockBeacon
139,Block,Minecraft,tile.cobbleWall,net.minecraft.block.BlockWall
140,Block,Minecraft,tile.flowerPot,net.minecraft.block.BlockFlowerPot
141,Block,HungerOverhaul,tile.carrots,iguanaman.hungeroverhaul.blocks.IguanaCropVegetable
142,Block,HungerOverhaul,tile.potatoes,iguanaman.hungeroverhaul.blocks.IguanaCropVegetable
143,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonWood
144,Block,IguanaTweaksTConstruct,tile.skull,iguanaman.iguanatweakstconstruct.blocks.IguanaBlockSkull
145,Block,Minecraft,tile.anvil,net.minecraft.block.BlockAnvil
146,Block,Minecraft,tile.chestTrap,net.minecraft.block.BlockChest
147,Block,Minecraft,tile.weightedPlate_light,net.minecraft.block.BlockPressurePlateWeighted
148,Block,Minecraft,tile.weightedPlate_heavy,net.minecraft.block.BlockPressurePlateWeighted
149,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator
150,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator
151,Block,Minecraft,tile.daylightDetector,net.minecraft.block.BlockDaylightDetector
152,Block,Minecraft,tile.blockRedstone,net.minecraft.block.BlockPoweredOre
153,Block,Minecraft,tile.netherquartz,powercrystals.netherores.ores.BlockNetherOverrideOre
154,Block,Minecraft,tile.hopper,net.minecraft.block.BlockHopper
155,Block,Minecraft,tile.quartzBlock,net.minecraft.block.BlockQuartz
156,Block,Minecraft,tile.stairsQuartz,net.minecraft.block.BlockStairs
157,Block,Minecraft,tile.activatorRail,net.minecraft.block.BlockRailPowered
158,Block,Minecraft,tile.dropper,net.minecraft.block.BlockDropper
159,Block,Minecraft,tile.clayHardenedStained,net.minecraft.block.BlockColored
170,Block,Minecraft,tile.hayBlock,net.minecraft.block.BlockHay
171,Block,Minecraft,tile.woolCarpet,net.minecraft.block.BlockCarpet
172,Block,Minecraft,tile.clayHardened,net.minecraft.block.Block
173,Block,Minecraft,tile.blockCoal,net.minecraft.block.Block
189,Block,Natura,tile.HeatSand,mods.natura.blocks.nether.HeatSand
190,Block,Natura,tile.TaintedSoil,mods.natura.blocks.nether.TaintedSoil
243,Block,ChickenChunks,tile.chickenChunkLoader,codechicken.chunkloader.BlockChunkLoader
256,Block,Minecraft,tile.ForgeFiller,null
257,Block,Minecraft,tile.ForgeFiller,null
258,Block,Minecraft,tile.ForgeFiller,null
259,Block,Minecraft,tile.ForgeFiller,null
260,Block,HungerOverhaul,tile.ForgeFiller,null
261,Block,Minecraft,tile.ForgeFiller,null
262,Block,Minecraft,tile.ForgeFiller,null
263,Block,Minecraft,tile.ForgeFiller,null
264,Block,Minecraft,tile.ForgeFiller,null
265,Block,Minecraft,tile.ForgeFiller,null
266,Block,Minecraft,tile.ForgeFiller,null
267,Block,Minecraft,tile.ForgeFiller,null
268,Block,Minecraft,tile.ForgeFiller,null
269,Block,Minecraft,tile.ForgeFiller,null
270,Block,Minecraft,tile.ForgeFiller,null
271,Block,Minecraft,tile.ForgeFiller,null
272,Block,Minecraft,tile.ForgeFiller,null
273,Block,Minecraft,tile.ForgeFiller,null
274,Block,Minecraft,tile.ForgeFiller,null
275,Block,Minecraft,tile.ForgeFiller,null
276,Block,Minecraft,tile.ForgeFiller,null
277,Block,Minecraft,tile.ForgeFiller,null
278,Block,Minecraft,tile.ForgeFiller,null
279,Block,Minecraft,tile.ForgeFiller,null
280,Block,Minecraft,tile.ForgeFiller,null
281,Block,Minecraft,tile.ForgeFiller,null
282,Block,HungerOverhaul,tile.ForgeFiller,null
283,Block,Minecraft,tile.ForgeFiller,null
284,Block,Minecraft,tile.ForgeFiller,null
285,Block,Minecraft,tile.ForgeFiller,null
286,Block,Minecraft,tile.ForgeFiller,null
287,Block,Minecraft,tile.ForgeFiller,null
288,Block,Minecraft,tile.ForgeFiller,null
289,Block,Minecraft,tile.ForgeFiller,null
290,Block,Minecraft,tile.ForgeFiller,null
291,Block,Minecraft,tile.ForgeFiller,null
292,Block,Minecraft,tile.ForgeFiller,null
293,Block,Minecraft,tile.ForgeFiller,null
294,Block,Minecraft,tile.ForgeFiller,null
295,Block,HungerOverhaul,tile.ForgeFiller,null
296,Block,Minecraft,tile.ForgeFiller,null
297,Block,HungerOverhaul,tile.ForgeFiller,null
298,Block,Minecraft,tile.ForgeFiller,null
299,Block,Minecraft,tile.ForgeFiller,null
300,Block,Minecraft,tile.ForgeFiller,null
301,Block,Minecraft,tile.ForgeFiller,null
302,Block,Minecraft,tile.ForgeFiller,null
303,Block,Minecraft,tile.ForgeFiller,null
304,Block,Minecraft,tile.ForgeFiller,null
305,Block,Minecraft,tile.ForgeFiller,null
306,Block,Minecraft,tile.ForgeFiller,null
307,Block,Minecraft,tile.ForgeFiller,null
308,Block,Minecraft,tile.ForgeFiller,null
309,Block,Minecraft,tile.ForgeFiller,null
310,Block,Minecraft,tile.ForgeFiller,null
311,Block,Minecraft,tile.ForgeFiller,null
312,Block,Minecraft,tile.ForgeFiller,null
313,Block,Minecraft,tile.ForgeFiller,null
314,Block,Minecraft,tile.ForgeFiller,null
315,Block,Minecraft,tile.ForgeFiller,null
316,Block,Minecraft,tile.ForgeFiller,null
317,Block,Minecraft,tile.ForgeFiller,null
318,Block,Minecraft,tile.ForgeFiller,null
319,Block,HungerOverhaul,tile.ForgeFiller,null
320,Block,HungerOverhaul,tile.ForgeFiller,null
321,Block,Minecraft,tile.ForgeFiller,null
322,Block,Minecraft,tile.ForgeFiller,null
323,Block,Minecraft,tile.ForgeFiller,null
324,Block,Minecraft,tile.ForgeFiller,null
325,Block,Minecraft,tile.ForgeFiller,null
326,Block,Minecraft,tile.ForgeFiller,null
327,Block,Minecraft,tile.ForgeFiller,null
328,Block,Minecraft,tile.ForgeFiller,null
329,Block,Minecraft,tile.ForgeFiller,null
330,Block,Minecraft,tile.ForgeFiller,null
331,Block,Minecraft,tile.ForgeFiller,null
332,Block,Minecraft,tile.ForgeFiller,null
333,Block,Minecraft,tile.ForgeFiller,null
334,Block,Minecraft,tile.ForgeFiller,null
335,Block,MineFactoryReloaded,tile.ForgeFiller,null
336,Block,Minecraft,tile.ForgeFiller,null
337,Block,Minecraft,tile.ForgeFiller,null
338,Block,HungerOverhaul,tile.ForgeFiller,null
339,Block,Minecraft,tile.ForgeFiller,null
340,Block,Minecraft,tile.ForgeFiller,null
341,Block,Minecraft,tile.ForgeFiller,null
342,Block,Minecraft,tile.ForgeFiller,null
343,Block,Minecraft,tile.ForgeFiller,null
344,Block,Minecraft,tile.ForgeFiller,null
345,Block,Minecraft,tile.ForgeFiller,null
346,Block,Minecraft,tile.ForgeFiller,null
347,Block,Minecraft,tile.ForgeFiller,null
348,Block,Minecraft,tile.ForgeFiller,null
349,Block,HungerOverhaul,tile.ForgeFiller,null
350,Block,HungerOverhaul,tile.ForgeFiller,null
351,Block,Minecraft,tile.ForgeFiller,null
352,Block,Minecraft,tile.ForgeFiller,null
353,Block,Minecraft,tile.ForgeFiller,null
354,Block,Minecraft,tile.ForgeFiller,null
355,Block,Minecraft,tile.ForgeFiller,null
356,Block,Minecraft,tile.ForgeFiller,null
357,Block,HungerOverhaul,tile.ForgeFiller,null
358,Block,Minecraft,tile.ForgeFiller,null
359,Block,Minecraft,tile.ForgeFiller,null
360,Block,HungerOverhaul,tile.ForgeFiller,null
361,Block,HungerOverhaul,tile.ForgeFiller,null
362,Block,HungerOverhaul,tile.ForgeFiller,null
363,Block,HungerOverhaul,tile.ForgeFiller,null
364,Block,HungerOverhaul,tile.ForgeFiller,null
365,Block,HungerOverhaul,tile.ForgeFiller,null
366,Block,HungerOverhaul,tile.ForgeFiller,null
367,Block,HungerOverhaul,tile.ForgeFiller,null
368,Block,Minecraft,tile.ForgeFiller,null
369,Block,Minecraft,tile.ForgeFiller,null
370,Block,Minecraft,tile.ForgeFiller,null
371,Block,Minecraft,tile.ForgeFiller,null
372,Block,Minecraft,tile.ForgeFiller,null
373,Block,Minecraft,tile.ForgeFiller,null
374,Block,Minecraft,tile.ForgeFiller,null
375,Block,Minecraft,tile.ForgeFiller,null
376,Block,Minecraft,tile.ForgeFiller,null
377,Block,Minecraft,tile.ForgeFiller,null
378,Block,Minecraft,tile.ForgeFiller,null
379,Block,Minecraft,tile.ForgeFiller,null
380,Block,Minecraft,tile.ForgeFiller,null
381,Block,Minecraft,tile.ForgeFiller,null
382,Block,Minecraft,tile.ForgeFiller,null
383,Block,Minecraft,tile.ForgeFiller,null
384,Block,Minecraft,tile.ForgeFiller,null
385,Block,Minecraft,tile.ForgeFiller,null
386,Block,Minecraft,tile.ForgeFiller,null
387,Block,Minecraft,tile.ForgeFiller,null
388,Block,Minecraft,tile.ForgeFiller,null
389,Block,Minecraft,tile.ForgeFiller,null
390,Block,Minecraft,tile.ForgeFiller,null
391,Block,HungerOverhaul,tile.ForgeFiller,null
392,Block,HungerOverhaul,tile.ForgeFiller,null
393,Block,HungerOverhaul,tile.ForgeFiller,null
394,Block,HungerOverhaul,tile.ForgeFiller,null
395,Block,Minecraft,tile.ForgeFiller,null
396,Block,Minecraft,tile.ForgeFiller,null
397,Block,IguanaTweaksTConstruct,tile.ForgeFiller,null
398,Block,Minecraft,tile.ForgeFiller,null
399,Block,Minecraft,tile.ForgeFiller,null
400,Block,HungerOverhaul,tile.ForgeFiller,null
401,Block,Minecraft,tile.ForgeFiller,null
402,Block,Minecraft,tile.ForgeFiller,null
403,Block,Minecraft,tile.ForgeFiller,null
404,Block,Minecraft,tile.ForgeFiller,null
405,Block,Minecraft,tile.ForgeFiller,null
406,Block,Minecraft,tile.ForgeFiller,null
407,Block,Minecraft,tile.ForgeFiller,null
408,Block,Minecraft,tile.ForgeFiller,null
417,Block,Minecraft,tile.ForgeFiller,null
418,Block,Minecraft,tile.ForgeFiller,null
419,Block,Minecraft,tile.ForgeFiller,null
420,Block,Minecraft,tile.ForgeFiller,null
421,Block,Minecraft,tile.ForgeFiller,null
